Index of Difficulty,Size (px),Distance (px)
46.0761754999985,1245,985
46.07717860001139,1245,986
46.07814509997843,1245,987
46.079238099977374,1245,988
46.08014889998594,1245,989
46.0813344999915,1245,990
46.082207900006324,1245,991
46.083150700025726,1245,992
46.08418070001062,1245,993
46.08518059999915,1245,995
46.08617919997778,1245,996
46.08818820002489,1245,998
46.08886090002488,1245,999
46.09014939999906,1245,1000
46.09085350000532,1245,1002
46.093175899994094,1245,1003
46.09386119997362,1245,1004
46.09517520002555,1245,1005
46.095862000016496,1245,1006
46.097359400009736,1245,1008
46.09886530000949,1245,1009
46.10015219997149,1245,1010
46.101222299970686,1244,1010
46.10185490001459,1244,1011
46.103151299990714,1244,1013
46.10513909999281,1244,1014
46.10615820001112,1244,1015
46.10785929998383,1244,1016
46.10919270000886,1244,1017
46.109855799993966,1244,1018
46.11215749999974,1244,1019
46.11286210000981,1244,1021
46.11485979997087,1244,1022
46.11617270001443,1244,1023
46.11919310002122,1244,1024
46.12013350002235,1244,1025
46.12085599999409,1244,1026
46.122858399990946,1244,1027
46.124177300021984,1244,1028
46.12615289998939,1244,1029
46.12885959999403,1244,1030
46.131156700022984,1243,1031
46.1341835000203,1243,1032
46.1351770000183,1243,1033
46.13886740000453,1243,1034
46.143189000023995,1243,1035
46.14986740000313,1243,1036
46.1561843000236,1243,1037
46.15719250001712,1243,1038
46.166218300000764,1243,1039
46.16718019999098,1243,1040
46.171192099980544,1243,1041
46.17519149999134,1243,1042
46.1773555999971,1243,1043
46.18018339999253,1243,1044
46.181213499978185,1243,1045
46.18515680002747,1243,1046
46.18618449999485,1243,1047
46.18787650001468,1243,1048
46.19118050002726,1243,1049
46.19185479998123,1243,1050
46.19385209999746,1243,1051
46.195164499979,1244,1052
46.19585279998137,1244,1053
46.197859700012486,1244,1054
46.20017419999931,1244,1055
46.20186700002523,1244,1057
46.20316969999112,1244,1058
46.20521759998519,1244,1059
46.20586420001928,1244,1060
46.20818860002328,1244,1061
46.20940110000083,1244,1062
46.21023620001506,1244,1063
46.21086869999999,1244,1064
46.212134499975946,1244,1065
46.21317629999248,1244,1066
46.215181900013704,1244,1067
46.21615870000096,1244,1068
46.21817549999105,1244,1070
46.21922480000649,1244,1071
46.22118880000198,1244,1073
46.22317800001474,1244,1074
46.22485890000826,1244,1076
46.22718079999322,1244,1077
46.228195999981835,1244,1078
46.22923429997172,1244,1079
46.23118479998084,1244,1080
46.23220510000829,1244,1081
46.234192300005816,1244,1082
46.23520609998377,1244,1083
46.23721489997115,1244,1084
46.24019340000814,1244,1085
46.24125510000158,1244,1086
46.244862299994566,1244,1087
46.24615010002162,1244,1088
46.24816100002499,1244,1089
46.25116739998339,1244,1090
46.253208499983884,1244,1091
46.26288539997768,1244,1092
46.26485959999263,1244,1093
46.27019419998396,1244,1094
46.27518769999733,1244,1095
46.276132399972994,1244,1096
46.28018389997305,1244,1097
46.2841780000017,1244,1098
46.29287150001619,1244,1099
46.29586549999658,1244,1100
46.29927929997211,1244,1101
46.30217989999801,1244,1102
46.303168900019955,1244,1103
46.31019410002045,1244,1104
46.31617090001237,1244,1105
46.321862799988594,1244,1106
46.32785970001714,1244,1107
46.33117510000011,1244,1108
46.335176300024614,1244,1109
46.3392329000053,1244,1110
46.342864500009455,1244,1111
46.3512320999871,1244,1112
46.35215619998053,1244,1113
46.35617330000969,1243,1113
46.356864299974404,1243,1114
46.36018319998402,1243,1115
46.3611627999926,1243,1116
46.37217230000533,1243,1117
46.37718140002107,1243,1118
46.38285850000102,1243,1119
46.38587679999182,1243,1120
46.38919169997098,1243,1121
46.39616120001301,1243,1122
46.39987389999442,1243,1123
46.41219240002101,1243,1124
46.414870199980214,1243,1125
46.41586519998964,1243,1126
46.42327309999382,1243,1127
46.42586700001266,1243,1128
46.43116310000187,1243,1129
46.43321789999027,1243,1130
Index of Difficulty,Size (px),Distance (px)
4.446256229889564,30,327
Timestamp (s),Position X (px),Position Y (px)
46.77154629997676,1280,800
46.89310059999116,1279,800
46.89886259997729,1278,800
46.90123830002267,1277,799
46.903868500026874,1277,798
46.90515309997136,1277,797
46.90715879999334,1276,796
46.90786969999317,1276,795
46.90918339998461,1276,794
46.91114420001395,1275,792
46.91218330000993,1275,791
46.913856099999975,1275,790
46.91513869998744,1274,789
46.91715579997981,1274,788
46.91820590000134,1274,787
46.91887270001462,1274,786
46.91985920001753,1274,785
46.920863799983636,1274,784
46.92186770000262,1274,783
46.92455090000294,1274,782
46.92517780000344,1274,781
46.92718930001138,1274,780
46.927873499982525,1274,778
46.92986520001432,1273,777
46.93115329998545,1273,776
46.93214970000554,1273,775
46.93285659997491,1273,774
46.93418069998734,1273,773
46.9348689999897,1273,772
46.936163800011855,1273,771
46.9368656000006,1273,769
46.937862600025255,1273,767
46.93917889997829,1273,766
46.94004539999878,1272,765
46.941257199971005,1272,764
46.942167399975006,1272,763
46.943163299991284,1272,761
46.94415009999648,1272,760
46.94516070000827,1272,759
46.94585289998213,1272,757
46.94715469999937,1272,756
46.94816799997352,1272,755
46.94885569997132,1272,753
46.950184800021816,1272,752
46.95115330000408,1272,750
46.95219929999439,1272,749
46.95316259999527,1272,747
46.95386700000381,1272,745
46.95515280001564,1272,744
46.955914699996356,1272,742
46.957191800000146,1272,741
46.95817270001862,1272,739
46.959148599999025,1272,737
46.95986260002246,1272,736
46.96087010001065,1272,734
46.96217150002485,1272,733
46.962868999980856,1272,731
46.96386120002717,1272,729
46.965161599975545,1272,728
46.966142799996305,1272,726
46.96716000000015,1272,725
46.968238100002054,1272,723
46.96919329999946,1272,721
46.970160000026226,1272,720
46.97092100000009,1272,718
46.972189699998125,1272,717
46.973157199972775,1272,715
46.97417539998423,1272,713
46.975866799999494,1272,711
46.97686410002643,1272,709
46.97814690001542,1272,708
46.97918069997104,1272,706
46.980189400026575,1272,705
46.981125799997244,1272,703
46.98217650002334,1272,701
46.98285789997317,1272,700
46.984171300020535,1272,698
46.98516069998732,1272,697
46.98617450002348,1272,695
46.9871725999983,1272,693
46.987871400022414,1272,692
46.98915560002206,1273,690
46.99037740001222,1273,689
46.99116309999954,1273,687
46.991861500020605,1273,685
46.99316319997888,1273,684
46.993862200004514,1273,682
46.995151499984786,1273,681
46.99586610001279,1273,679
46.997169699985534,1273,677
46.99786800000584,1273,676
46.99884890002431,1273,674
47.00017900002422,1273,673
47.0011815999751,1273,671
47.00229390000459,1273,669
47.002856399980374,1273,668
47.00386250001611,1273,666
47.005170300020836,1273,665
47.00617649999913,1273,663
47.00686520000454,1273,661
47.00815650000004,1273,660
47.009185799979605,1273,658
47.010167600004934,1273,657
47.011173799983226,1273,655
47.01186269999016,1273,652
47.01417889998993,1273,649
47.01513359998353,1273,648
47.015861199994106,1273,646
47.01714730000822,1273,645
47.01829069998348,1273,643
47.01918850000948,1273,641
47.0198662999901,1273,640
47.02085420000367,1273,638
47.02215909998631,1273,635
47.02315349999117,1273,634
47.02414170000702,1273,632
47.025172399997246,1273,631
47.02615719998721,1273,629
47.02714510000078,1273,627
47.02814289997332,1273,626
47.02914439997403,1273,624
47.029863799980376,1273,622
47.03114979999373,1273,620
47.03185249998933,1273,618
47.03390500001842,1273,616
47.03488679998554,1274,613
47.03616919997148,1274,612
47.03713329997845,1274,610
47.03888289997121,1274,605
47.0401564000058,1274,604
47.04113889997825,1274,603
47.04217279999284,1274,601
47.04317889997037,1274,600
47.0441223999951,1274,598
47.04486129997531,1274,597
47.046152400027495,1274,596
47.046867900004145,1274,594
47.04816469998332,1274,593
47.04932990000816,1274,591
47.05019480001647,1274,590
47.05117940000491,1274,589
47.051874099997804,1274,587
47.05315859999973,1274,586
47.05413529998623,1274,584
47.05515999998897,1274,583
47.056141400011256,1274,582
47.057169599982444,1274,580
47.05816349998349,1274,579
47.059168500010855,1274,576
47.06117180001456,1274,575
47.06185790000018,1274,574
47.063168600026984,1274,572
47.06413110002177,1274,571
47.065147300018,1274,570
47.066025600011926,1274,569
47.0672056999756,1274,568
47.06823319999967,1274,567
47.069178999983706,1274,565
47.07115009997506,1274,564
47.072183799988125,1275,562
47.07386070000939,1275,561
47.07516399997985,1275,559
47.0758627000032,1275,558
47.07714710000437,1275,557
47.07786760001909,1275,556
47.0798594999942,1275,555
47.08114449999994,1275,554
47.08233080001082,1275,553
47.08286089997273,1275,552
47.08386219997192,1275,551
47.086174399999436,1275,550
47.086869699996896,1275,549
47.088889400009066,1275,548
47.08986010000808,1275,547
47.09116160002304,1275,546
47.09317469998496,1275,545
47.094149700016715,1275,544
47.096178099978715,1275,543
47.09806490002666,1275,542
47.099237799993716,1275,541
47.100864099978935,1275,540
47.101892700011376,1275,539
47.10417830001097,1275,538
47.10715260001598,1275,537
47.108192300016526,1275,536
47.11400679999497,1275,535
47.11617240001215,1276,534
47.1178738999879,1276,533
47.120204899983946,1276,532
47.12219780002488,1276,531
47.12517860002117,1276,530
47.12816510000266,1276,529
47.13115279999329,1276,528
47.13215309998486,1277,528
47.13318750000326,1277,527
47.13417989999289,1277,526
47.13786149997031,1277,525
47.14087780000409,1277,524
47.14521859999513,1277,523
47.146349199989345,1277,522
47.147391900012735,1277,521
47.15115789999254,1277,520
47.15188830002444,1277,519
47.15386680001393,1277,518
47.157176000007894,1277,517
47.16020069998922,1277,516
47.16118200001074,1278,515
47.161898499995004,1278,514
47.16418319998775,1278,513
47.16614180000033,1278,512
47.1672010999755,1279,512
47.16924359998666,1279,511
47.17117619997589,1280,510
47.17315819999203,1280,509
47.175160599988885,1280,508
47.17586409999058,1280,507
47.178388400003314,1280,506
47.18016659998102,1280,505
47.180870899988804,1281,505
47.183185999980196,1281,504
47.18518510001013,1281,503
47.186207099992316,1281,502
47.19019150000531,1282,501
