Index of Difficulty,Size (px),Distance (px),Target Position X (px),Target Position Y (px)
5.03121873061072,20,327,1,327
Timestamp (s),Position X (px),Position Y (px)
83.58969230001094,1063,598
83.59435820003273,1063,597
83.60140310000861,1063,596
83.60370219999459,1062,596
83.61070389999077,1061,596
83.6143767000176,1061,595
83.73442320001777,1061,594
83.7397141000256,1061,593
83.74271600000793,1060,593
83.74469960003626,1060,592
83.74569770001108,1059,592
83.74669569998514,1059,591
83.74868820002303,1058,591
83.75065880001057,1058,590
83.75277940003434,1058,589
83.75538630003575,1058,588
83.75867220002692,1057,588
83.76037110004108,1057,587
83.76338070002384,1056,587
83.76436880003894,1056,586
83.76777859998401,1056,585
83.76903299998958,1055,585
83.76972159999423,1055,584
83.77170260000275,1055,583
83.7726595000131,1054,583
83.7753776999889,1053,582
83.77737590001198,1053,581
83.78037520003272,1053,580
83.78166249999776,1052,579
83.78367690002779,1052,578
83.78489300003275,1051,578
83.78684549999889,1051,577
83.78837820002809,1051,576
83.79166829999303,1050,576
83.79266590002226,1050,575
83.79466720001074,1049,574
83.79536660003942,1049,573
83.7976631000056,1048,573
83.79967640002724,1048,572
83.80148200003896,1048,571
83.80669320002198,1047,570
83.80968140001642,1047,569
83.8116880999878,1047,568
83.81637880002381,1046,568
83.81886890000897,1046,567
83.8236850000103,1046,566
Index of Difficulty,Size (px),Distance (px),Target Position X (px),Target Position Y (px)
6.03121873061072,10,327,-327,1
Timestamp (s),Position X (px),Position Y (px)
84.35122140002204,1280,799
84.45660810003756,1279,799
84.4577355000074,1278,799
84.45870770001784,1277,799
84.46037829999113,1276,799
84.46166440000525,1275,799
84.46269549999852,1274,799
84.46365160000278,1272,801
84.46471169998404,1270,801
84.46567260002485,1269,801
84.46667749999324,1266,802
84.46766640001442,1264,803
84.46887660003267,1262,803
84.46973459998844,1259,803
84.4703778999974,1257,804
84.47171170002548,1256,804
84.4726692000404,1252,805
84.47342639998533,1250,805
84.47464349999791,1249,805
84.47568730002968,1245,806
84.47665060003055,1242,806
84.47736790002091,1238,808
84.47866550000617,1234,808
84.479364000028,1232,808
84.48070519999601,1228,809
84.48165560001507,1224,809
84.48237330000848,1220,810
84.48366630001692,1216,811
84.48466900002677,1213,812
84.48586359998444,1209,812
84.48638910002774,1205,813
84.48768369999016,1201,813
84.4883757000207,1198,813
84.48938169999747,1194,813
84.4903772000107,1190,813
84.49137579998933,1186,813
84.49264810001478,1184,814
84.49368900002446,1179,814
84.49469550000504,1176,815
84.49568520003231,1172,815
84.49638419999974,1169,816
84.49769859999651,1167,816
84.49868230003631,1163,817
84.49937229999341,1159,818
84.50037590001011,1155,819
84.50188910000725,1154,819
84.50279080000473,1149,820
84.50377240002854,1146,820
84.50469149998389,1142,820
84.50565150001785,1140,821
84.50669320003362,1137,821
84.50768129999051,1134,821
84.50866659998428,1132,822
84.50937059998978,1130,822
84.51068770000711,1126,822
84.51169240003219,1125,822
84.51273620000575,1121,823
84.51371160004055,1118,824
84.51467900001444,1115,824
84.51566620002268,1113,824
84.51637860003393,1110,824
84.51767189998645,1107,825
84.51892840000801,1105,825
84.51978989999043,1103,825
84.52077639999334,1100,825
84.52165960002458,1098,826
84.5226978000137,1096,826
84.52369300002465,1093,826
84.52438060002169,1091,826
84.52537970000412,1089,826
84.52664930000901,1086,826
84.52737830003025,1085,826
84.52869920001831,1082,826
84.52969739999389,1080,826
84.53069390001474,1079,827
84.53137280000374,1077,827
84.53264240000863,1074,828
84.53372690000106,1073,828
84.5346564000356,1071,828
84.53590840002289,1069,829
84.53638720000163,1068,829
84.53738480003085,1066,829
84.53838199999882,1064,830
84.53937990003033,1063,830
84.54068370000459,1061,830
84.54168239998398,1060,830
84.54237069998635,1058,830
84.54371100000571,1057,831
84.54470309999306,1056,831
84.54537529998925,1054,831
84.54637820000062,1053,831
84.54736670001876,1052,831
84.54867099999683,1050,831
84.55037950002588,1048,831
84.55282809998607,1046,831
84.5538235999993,1045,831
84.55438370001502,1044,831
84.55570359999547,1043,831
84.55667950003408,1042,831
84.55769059999147,1041,831
84.55868650000775,1040,831
84.55937680002535,1039,831
84.56070400000317,1038,831
84.5613792000222,1036,832
84.56268400000408,1035,832
84.56342980003683,1034,832
84.56437079998432,1033,832
84.56537000002572,1032,832
84.56664760003332,1030,832
84.56769609998446,1029,832
84.56891790003283,1028,833
84.5703922000248,1026,833
84.57237660000101,1025,833
84.57371700002113,1023,833
84.57437129999744,1022,833
84.57675700000254,1021,833
84.57768350001425,1020,833
84.57838349998929,1019,833
84.57968860003166,1018,833
84.58070280001266,1017,833
84.5823807999841,1016,833
84.5847131999908,1015,833
84.58678230002988,1014,833
84.58766900002956,1013,833
84.58836659998633,1012,833
84.59037739998894,1011,833
84.59171930002049,1010,833
84.59569400001783,1009,833
84.59669929998927,1008,833
84.59864839998772,1007,833
84.6006945000263,1006,833
84.60301200003596,1005,833
84.60570820001885,1004,833
84.6073841000325,1003,833
84.60968689998845,1002,833
84.61137360002613,1001,833
84.61337070004083,1000,833
84.61637649999466,999,833
84.61843540001428,997,833
84.62171630002558,996,833
84.62275460001547,995,833
84.6284584000241,994,833
84.63068520004163,993,833
84.63169720000587,992,833
84.63471060001757,991,833
84.63641610002378,990,833
84.63766150001902,990,832
84.64242119999835,989,832
84.64638410002226,988,832
84.64867530000629,987,832
84.653400900017,986,832
84.65566899999976,985,832
84.66037649998907,984,832
84.68681749998359,983,832
84.70974469999783,982,832
84.71640400000615,981,832
84.71770859998651,980,832
84.71850150002865,980,831
84.72041680000257,979,831
84.7216643000138,979,830
84.72274230001494,978,830
84.72339030000148,977,830
84.7256985999993,977,829
84.72669119999046,976,829
84.72737040003994,976,828
84.72838310000952,975,828
84.73065560002578,975,827
84.73170599999139,974,827
84.73276630003238,973,827
84.73366930003976,973,826
84.73471119999886,972,826
84.73674409999512,971,825
84.73770990001503,970,825
84.7406931000296,969,825
84.74138120003045,968,825
84.74273210001411,968,824
84.74468400003389,967,823
84.7466940000304,966,823
84.74769109999761,965,823
84.74867820000509,965,822
84.75065659999382,965,821
84.75137340003857,964,821
84.75339560001157,963,820
84.75771610002266,962,820
84.75837400002638,961,820
84.76068240002496,960,820
84.76274159998866,960,819
84.76535870000953,959,819
84.7693944000057,958,818
84.7817245000042,958,817
84.78367070003878,957,817
84.7853991999873,957,816
84.78839649999281,956,816
84.79369000002043,955,816
84.79738360003103,955,815
84.80080010002712,954,815
84.80293190001976,954,814
84.80466329999035,953,814
84.80737320001936,953,813
84.81372080004076,952,813
84.81895450002048,951,813
84.82240350003121,950,813
84.82337270001881,950,812
84.82838510000147,950,811
84.83068549999734,949,811
84.83284250000725,949,810
84.83368610002799,948,810
84.83592089999001,948,809
84.84069620002992,948,808
84.84275310003432,947,808
84.85380779998377,946,808
84.87573740002699,946,807
84.90678810002282,945,807
85.07888320001075,945,806
85.24640170001658,945,805
85.24738369998522,946,805
85.24837710004067,947,805
85.24936600000365,947,804
85.2507026999956,947,803
85.25138130004052,948,803
85.2534046000219,949,803
85.25469440000597,949,802
85.25668809999479,949,801
85.25768330000574,950,801
85.26171650004108,951,801
85.36989450000692,951,800
Index of Difficulty,Size (px),Distance (px),Target Position X (px),Target Position Y (px)
6.03121873061072,10,327,-231,-231
Timestamp (s),Position X (px),Position Y (px)
85.94672990002437,1280,800
86.02043430000776,1279,800
86.02282890002243,1278,801
86.02367490000324,1277,801
86.0249407000374,1277,802
86.02568950003479,1276,802
86.0267077999888,1274,802
86.02772750001168,1274,803
86.02866330003599,1273,804
86.0297750000027,1272,804
86.03037980000954,1272,805
86.03172000002814,1270,805
86.03277849999722,1269,805
86.03372690000106,1269,806
86.03437950002262,1268,806
86.035382400034,1267,807
86.03656089998549,1266,807
86.03775210003369,1265,808
86.03869260003557,1264,809
86.0397057000082,1263,810
86.04138320003403,1261,811
86.04276250000112,1261,812
86.04372770001646,1260,813
86.04466820001835,1259,813
86.04537639999762,1258,814
86.04638930002693,1257,815
86.04770130000543,1255,816
86.04968050000025,1253,819
86.05038510001032,1252,819
86.05169639998348,1251,821
86.05247180000879,1250,822
86.05374589998974,1248,822
86.05468549998477,1247,824
86.0553804000374,1245,827
86.05668300000252,1244,828
86.05737400002545,1243,829
86.05838020000374,1241,830
86.05976640002336,1241,831
86.06039110000711,1239,834
86.06171030004043,1237,835
86.06275480001932,1235,837
86.06371449999278,1232,841
86.06470490002539,1231,843
86.065384800022,1230,845
86.06672430003528,1228,845
86.06766020000214,1227,847
86.06839850003598,1225,850
86.06975620001322,1225,851
86.07038789999206,1224,852
86.07171440002276,1222,853
86.07275689998642,1220,855
86.07365949999075,1220,856
86.07465389999561,1219,856
86.07574310002383,1218,858
86.07670370000415,1217,860
86.07868289999897,1215,862
86.07968140003504,1214,863
86.08137630001875,1213,863
86.08285780000733,1212,865
86.08372940000845,1211,866
86.0858648000285,1209,868
86.08694100001594,1208,869
86.08872790000169,1207,870
86.08970110001974,1207,871
86.09038790001068,1205,872
86.09137700003339,1205,873
86.09274779999396,1204,874
86.09370600001421,1202,876
86.09465859999182,1201,876
86.09537769999588,1200,877
86.09638870001072,1200,878
86.09766630001832,1200,879
86.0983851000201,1199,880
86.09968290000688,1197,881
86.10067960002925,1196,883
86.10170310002286,1195,883
86.10255750000942,1194,884
86.10354360000929,1193,886
86.10539430001518,1191,888
86.10638439998729,1190,889
86.1073871999979,1189,890
86.10869920003461,1188,891
86.10970219998853,1187,892
86.1106751000043,1187,893
86.11165840004105,1186,894
86.11275959998602,1185,895
86.11366850003833,1184,896
86.11468910000985,1182,898
86.11569230002351,1181,900
86.11638920003315,1180,900
86.11772010003915,1180,901
86.11837979999837,1178,903
86.1198982000351,1176,905
